Dataset;Support;Size;Temps d'exécution (s);Mémoire maximale (Ko);Titre variables;Supports motifs;Motifs detectés
./data/AfterPCA/Air_quality.csv;0.04;149;1466.582211971283;97.2265625;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.05248952722018066, 0.041289936504224634, 0.05595612322988055, 0.04015555955506398, 0.05042743489760566, 0.04331778322630841, 0.04800520405191935, 0.0434910673355319, 0.047816704752617685, 0.05303035183687781, 0.04001871422688352, 0.04630916727081937, 0.06514676056038139, 0.04702268201034057, 0.04282785867491778, 0.04296040902451761, 0.04559537838372919, 0.05675115117991058, 0.046091197107852803, 0.042620740186556504, 0.049006185363142496, 0.04107653546740767, 0.0434087545279469, 0.04168697072099394, 0.04647644297915615, 0.04041049394858079, 0.04072592357231828, 0.04696488256454816, 0.047177849534380915, 0.04565553092948865, 0.04031931703626557, 0.041223844094470705, 0.04085472723847544, 0.042447136238502534, 0.04919326823333778, 0.040035757067421525, 0.04281013046545734, 0.04909270176678513, 0.043637896204349234, 0.04610659506297695, 0.045166017599451484, 0.04669557826929086, 0.05048747321521137, 0.04315505379849048, 0.04423930743379005, 0.04615614723606934, 0.046123340910315225, 0.04480811794815349, 0.04332338040584167, 0.04028685339497267, 0.04243023047174902, 0.044700195188499985, 0.04680900682595463, 0.0406455297977161, 0.050138003601659376, 0.040665542570251345, 0.04527503694938089, 0.04142317222274691, 0.04465119131054555, 0.04285582172695332, 0.04346134516992877, 0.043334643301800424, 0.04230770935404756, 0.055410957943341284, 0.040467379569143286, 0.04090133232520134, 0.040645895327808074, 0.04849940073625985, 0.047112670949856904, 0.056077387837890874, 0.04243011624359529, 0.041391096957176736, 0.04582831243483569, 0.04220392165355944, 0.05332243322599085, 0.04500968494824299, 0.06276663421216362, 0.044011353730186616, 0.045253721975893016, 0.043770560782102806, 0.04250402185906503, 0.044763386203148924, 0.04222699574061491, 0.05014483444525303, 0.042872864567491314, 0.046135654705288395, 0.04420211474693232, 0.04038376456060564, 0.048291528342083896, 0.04197690462081667, 0.04006785517862245, 0.043394384626206414, 0.04714819590567002, 0.0449153781845153, 0.04224769388207259, 0.0406869946175237, 0.040428953218225164, 0.043717170543044755, 0.04220922183989298, 0.04542337362982758, 0.04033389254868278, 0.040747672612790366, 0.04123019517981864, 0.05072360565462259, 0.04478986428918584, 0.043338047300781876, 0.04089495839422265, 0.043956821209591164, 0.04216282236384381, 0.05049805074224769, 0.04368237664741557, 0.04421518244772017, 0.040303987618033665, 0.041079231251835935, 0.0472257796676902, 0.048944730616430406, 0.04616574240098349, 0.043660262076851516, 0.04123889936513363, 0.04796913080096827, 0.04246205443538097, 0.04145702944751543, 0.04438682167152982, 0.06198506233864417, 0.0421504400319784, 0.04245520074615658, 0.04700577624358706, 0.040679044338023405, 0.046075662078944174, 0.04290953180484184, 0.044121538207284164, 0.04043937082584625, 0.04333660802604475, 0.04187880548238481, 0.051705031105925454, 0.04076199682326935, 0.06361713135364977, 0.05857651707667492, 0.044264232016936106, 0.05649103082821397, 0.04552967434969798, 0.045115323144821695, 0.041240087337932524, 0.16097392385999046, 0.05553909908620675, 0.04500235150077289, 0.04975435692450839, 0.17920069352024348, 0.059187706236075874];[{'3+', '1+', '2-'}, {'4+', '3+', '1+'}, {'3-', '1+', '6+'}, {'4+', '6-', '1+'}, {'4+', '9+', '1+'}, {'6-', '1+', '5+'}, {'3-', '2+', '5+'}, {'3-', '2+', '6+'}, {'9-', '3-', '2+'}, {'4+', '3+', '8+'}, {'3+', '9+', '4-'}, {'3+', '6-', '5+'}, {'9-', '5-', '3+'}, {'9-', '3+', '6-'}, {'4+', '8+', '5+'}, {'4+', '7+', '6-'}, {'4+', '6-', '9+'}, {'4+', '7+', '8+'}, {'4+', '9+', '8+'}, {'8-', '6-', '5+'}, {'9-', '6-', '5+'}, {'2+', '1+', '3+', '4-'}, {'7+', '2+', '1+', '4+'}, {'2+', '1+', '4-', '5+'}, {'1+', '6+', '2-', '5+'}, {'7-', '1+', '2-', '5+'}, {'7+', '1+', '5-', '2-'}, {'7-', '1+', '6+', '2-'}, {'7-', '1+', '8-', '2-'}, {'9+', '1+', '8-', '2-'}, {'1+', '3+', '8-', '4-'}, {'1+', '5-', '3+', '8+'}, {'6-', '1+', '3+', '8+'}, {'7-', '1+', '3+', '8+'}, {'7-', '9+', '1+', '3+'}, {'9+', '1+', '3-', '5+'}, {'9+', '1+', '6+', '4-'}, {'7-', '1+', '6+', '5+'}, {'7+', '1+', '8+', '5+'}, {'7-', '9+', '1+', '5+'}, {'9+', '1+', '6+', '5-'}, {'9-', '7+', '1+', '5-'}, {'9-', '1+', '5-', '8-'}, {'7+', '1+', '6+', '8+'}, {'7-', '9+', '1+', '6+'}, {'7-', '2+', '3+', '5+'}, {'7-', '2+', '6+', '3+'}, {'6-', '2+', '3+', '8+'}, {'7-', '9+', '2+', '3+'}, {'9-', '2+', '3+', '8+'}, {'7-', '2+', '5-', '3-'}, {'7-', '6-', '2+', '3-'}, {'7-', '9+', '2+', '3-'}, {'9+', '2+', '4-', '5+'}, {'7-', '2+', '6+', '5+'}, {'7+', '6-', '2+', '5+'}, {'6-', '2+', '9+', '5+'}, {'9+', '2+', '6+', '5-'}, {'9-', '6-', '2+', '5-'}, {'7-', '2+', '5-', '8+'}, {'9-', '7+', '6-', '2+'}, {'7-', '9+', '2+', '8-'}, {'7-', '6-', '5-', '3+'}, {'6-', '5-', '3+', '8+'}, {'7-', '5-', '3+', '8+'}, {'9+', '5-', '3+', '8+'}, {'7-', '6-', '3+', '8+'}, {'6-', '9+', '3+', '8+'}, {'9-', '7+', '3+', '8+'}, {'7-', '9+', '3+', '8+'}, {'9-', '6-', '4+', '5-'}, {'9-', '4+', '5-', '8+'}, {'9-', '6-', '4+', '8+'}, {'7-', '9-', '4+', '8+'}, {'7-', '6-', '8+', '5+'}, {'9-', '7+', '8+', '5+'}, {'7-', '9+', '8+', '5+'}, {'9-', '7+', '6+', '8+'}, {'7-', '9+', '6+', '8+'}, {'1+', '5-', '3+', '2+', '6+'}, {'1+', '8-', '4-', '2+', '6+'}, {'1+', '8-', '4-', '7+', '2+'}, {'9+', '1+', '4-', '7+', '2+'}, {'9+', '1+', '8-', '4-', '2+'}, {'9+', '1+', '2+', '8+', '5+'}, {'1+', '5-', '7+', '2+', '6+'}, {'1+', '5-', '8-', '2+', '6+'}, {'9+', '1+', '2+', '6+', '8+'}, {'1+', '5-', '8-', '3-', '2-'}, {'6-', '1+', '8-', '3-', '2-'}, {'6-', '1+', '5-', '4-', '2-'}, {'6-', '1+', '5-', '8-', '2-'}, {'1+', '3+', '6+', '8+', '5+'}, {'9+', '1+', '3+', '8+', '5+'}, {'1+', '5-', '3+', '7+', '6+'}, {'1+', '5-', '3+', '8-', '6+'}, {'6-', '1+', '5-', '3+', '8-'}, {'9+', '1+', '3+', '6+', '8+'}, {'7-', '9+', '1+', '3-', '4-'}, {'7-', '1+', '5-', '8-', '3-'}, {'7-', '6-', '1+', '8-', '3-'}, {'7-', '9+', '1+', '8-', '3-'}, {'1+', '8-', '4-', '6+', '5+'}, {'9+', '1+', '6+', '8+', '5+'}, {'1+', '5-', '8-', '7+', '6+'}, {'7-', '6-', '1+', '5-', '8-'}, {'7-', '9+', '1+', '5-', '8-'}, {'9+', '3+', '7+', '2+', '4+'}, {'9-', '3+', '7+', '2+', '4+'}, {'9+', '3+', '2+', '8+', '5+'}, {'6-', '5-', '3+', '8-', '2+'}, {'9+', '3+', '2+', '6+', '8+'}, {'9+', '8-', '4-', '2+', '6+'}, {'9+', '8-', '4-', '7+', '2+'}, {'9+', '2+', '6+', '8+', '5+'}, {'9+', '7+', '2+', '8+', '5+'}, {'9-', '5-', '8-', '7+', '2+'}, {'9+', '7+', '2+', '6+', '8+'}, {'7-', '6-', '9+', '2+', '8+'}, {'9-', '3+', '6+', '4+', '5+'}, {'9-', '3+', '7+', '4+', '5+'}, {'9-', '3+', '7+', '6+', '4+'}, {'7-', '9+', '3+', '6+', '5+'}, {'9+', '3+', '6+', '8+', '5+'}, {'9+', '3+', '7+', '8+', '5+'}, {'6-', '5-', '3+', '8-', '7+'}, {'7-', '6-', '5-', '4+', '8+'}, {'9+', '7+', '6+', '8+', '5+'}, {'9+', '1+', '3+', '7+', '2+', '8+'}, {'7-', '6-', '1+', '9+', '5-', '2+'}, {'7-', '1+', '5-', '3-', '4-', '2-'}, {'7-', '6-', '1+', '3-', '4-', '2-'}, {'7-', '6-', '1+', '5-', '3-', '4-'}, {'6-', '1+', '9+', '5-', '3-', '4-'}, {'3+', '7+', '2+', '6+', '8+', '5+'}, {'5-', '3+', '8-', '7+', '2+', '6+'}, {'7-', '9-', '3+', '6+', '8+', '5+'}, {'7-', '9-', '3+', '8-', '6+', '5+'}, {'6-', '1+', '9+', '5-', '3+', '7+', '2+'}, {'9+', '1+', '5-', '3+', '8-', '7+', '2+'}, {'6-', '1+', '9+', '3+', '8-', '7+', '2+'}, {'3+', '8-', '7+', '2+', '6+', '4+', '5+'}, {'3+', '8-', '4-', '7+', '2+', '6+', '5+'}, {'9+', '1+', '3+', '8-', '7+', '2+', '6+', '5+'}, {'9-', '1+', '3+', '8-', '7+', '2+', '6+', '5+'}, {'6-', '1+', '9+', '5-', '3-', '7+', '2+', '8+'}, {'6-', '1+', '9+', '5-', '8-', '3-', '7+', '2+'}, {'7-', '6-', '1+', '9+', '5-', '3-', '8+', '2-'}, {'7-', '9-', '6-', '1+', '5-', '3-', '8+', '2-'}]
./data/AfterPCA/Air_quality.csv;0.08;73;1372.2107779979706;46.2138671875;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.08735456414351753, 0.10858925808494307, 0.11611111347182629, 0.08162417173736863, 0.08085102990159519, 0.09281569794567063, 0.0848376381583808, 0.09108895663684535, 0.09772572659728997, 0.08758244931022872, 0.08152961367170271, 0.10789317456168258, 0.08165499049324768, 0.08074153079342007, 0.08054866797864554, 0.083435122041131, 0.0987456012451417, 0.09280217333226781, 0.09111187080448559, 0.08318270066699647, 0.08126458150939529, 0.08736530158996908, 0.087025541369485, 0.08363897360429531, 0.08043035045700171, 0.08307644563838756, 0.08171854703798859, 0.08374474887465849, 0.0803993489360767, 0.08615628796515475, 0.08266357939950991, 0.08954651103126411, 0.09317293507367692, 0.0874247687668061, 0.0814917127702918, 0.0823807504908498, 0.0862522396142963, 0.08623126732526964, 0.0815893093048472, 0.08148511038300563, 0.09121387654577535, 0.10188863458655782, 0.08036729651613726, 0.08412067372861666, 0.09101004782824179, 0.08861022854631927, 0.08739193959542124, 0.0840776097146567, 0.08547018798253113, 0.10512947007320608, 0.08915651326876518, 0.08698202044291008, 0.08438232473757339, 0.0802248768540543, 0.0804482385858774, 0.08933564585946016, 0.08000978524056197, 0.080282196541601, 0.08123499641757664, 0.0801890320594107, 0.09035501790343545, 0.08125948693373848, 0.09177466824374625, 0.12223079542592091, 0.0957052590139378, 0.10435406651998858, 0.08781899297099341, 0.08722363583370081, 0.09477498492987968, 0.0859198585325438, 0.23473979260645025, 0.16097392385999046, 0.17920069352024348];[{'2+', '4-'}, {'9-', '4+'}, {'6-', '5+'}, {'8-', '1+', '2-'}, {'8-', '1+', '4-'}, {'9+', '1+', '4-'}, {'7-', '8-', '1+'}, {'2+', '6+', '8+'}, {'7-', '9+', '2+'}, {'4+', '3+', '5+'}, {'4+', '3+', '6+'}, {'5-', '3+', '6-'}, {'7-', '3+', '9+'}, {'4+', '6+', '5+'}, {'4+', '6-', '5-'}, {'4+', '6-', '8+'}, {'7+', '8+', '5+'}, {'7-', '9+', '5+'}, {'7+', '6+', '8+'}, {'6-', '2+', '1+', '3+'}, {'1+', '5-', '3+', '8-'}, {'9-', '1+', '6+', '3+'}, {'6-', '1+', '9+', '3+'}, {'9-', '7+', '1+', '3+'}, {'9+', '1+', '3+', '8+'}, {'9-', '1+', '3+', '8-'}, {'7-', '9-', '1+', '3-'}, {'9-', '1+', '6+', '5+'}, {'9-', '1+', '5-', '8+'}, {'7+', '2+', '4+', '3+'}, {'2+', '3+', '8+', '5+'}, {'7+', '6-', '2+', '3+'}, {'6-', '2+', '9+', '3+'}, {'7+', '2+', '3+', '8+'}, {'9+', '2+', '3+', '8+'}, {'6-', '2+', '3-', '8+'}, {'9+', '2+', '3-', '8+'}, {'7+', '6-', '2+', '8+'}, {'7+', '9+', '5-', '3+'}, {'7-', '6+', '3+', '8-'}, {'7-', '9-', '3+', '8+'}, {'7-', '6+', '8-', '5+'}, {'9+', '6+', '8+', '5+'}, {'7-', '9-', '8-', '5+'}, {'7-', '9-', '6+', '8-'}, {'1+', '5-', '3+', '7+', '2+'}, {'9+', '1+', '5-', '3+', '2+'}, {'1+', '8-', '3-', '7+', '2+'}, {'9+', '1+', '8-', '3-', '2+'}, {'9+', '1+', '7+', '2+', '8+'}, {'9-', '1+', '8-', '7+', '2+'}, {'9-', '1+', '5-', '3-', '2-'}, {'9-', '6-', '1+', '5-', '2-'}, {'7-', '9-', '1+', '5-', '2-'}, {'7-', '9-', '1+', '8+', '2-'}, {'9-', '6-', '1+', '5-', '3-'}, {'9+', '1+', '8-', '3-', '7+'}, {'6-', '1+', '5-', '7+', '8+'}, {'9-', '1+', '8-', '7+', '6+'}, {'5-', '3+', '8-', '7+', '2+'}, {'6-', '5-', '8-', '3-', '2+'}, {'6-', '8-', '3-', '7+', '2+'}, {'7-', '3+', '6+', '8+', '5+'}, {'7-', '9-', '3+', '6+', '5+'}, {'9-', '3+', '6+', '8+', '5+'}, {'7-', '9-', '6+', '8+', '5+'}, {'6-', '1+', '9+', '5-', '2+', '8+'}, {'6-', '1+', '9+', '5-', '8-', '3-'}, {'6-', '1+', '9+', '5-', '3-', '7+', '2+'}, {'6-', '1+', '9+', '5-', '8-', '7+', '2+'}, {'9-', '3+', '8-', '7+', '2+', '6+', '5+'}, {'9+', '1+', '3+', '8-', '7+', '2+', '6+', '5+'}, {'7-', '6-', '1+', '9+', '5-', '3-', '8+', '2-'}]
./data/AfterPCA/Air_quality.csv;0.1;58;1355.596893787384;34.6513671875;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.1193598763923441, 0.13519866080740206, 0.11528305073973467, 0.11591205949111906, 0.11936693569224523, 0.10858925808494307, 0.11611111347182629, 0.10087305491728671, 0.1264388463815468, 0.10067907266660553, 0.11174720962323763, 0.10449088900253829, 0.1112510482146528, 0.12181658129482913, 0.10116831184907372, 0.10789317456168258, 0.1027069650799508, 0.1085627571532754, 0.10009787982037668, 0.10772781788632864, 0.11071084042998584, 0.147342141603342, 0.11970027629048914, 0.11652206067772113, 0.10417280928563404, 0.10171829756370082, 0.1017616585708605, 0.10095673846271659, 0.10489500536483946, 0.12082016910975557, 0.10330748532979245, 0.10770561193324159, 0.10420545569197291, 0.11296289417223038, 0.11023073949981685, 0.10711402432502241, 0.11722831050666446, 0.15773914246549042, 0.10304645115286591, 0.10545787601520842, 0.10188863458655782, 0.10512947007320608, 0.1105909465598204, 0.12223079542592091, 0.10435406651998858, 0.10565523941924031, 0.12405812604692959, 0.10126853563116515, 0.1001636752369309, 0.14607402633178262, 0.10117427455869894, 0.11439408155606891, 0.1050929170640093, 0.11263987979908456, 0.10251798602240343, 0.23473979260645025, 0.16097392385999046, 0.17920069352024348];[{'1+', '4-'}, {'7-', '2+'}, {'4+', '3+'}, {'4+', '7+'}, {'4+', '8+'}, {'9-', '4+'}, {'6-', '5+'}, {'9-', '2+', '1+'}, {'9-', '1+', '2-'}, {'9-', '3+', '1+'}, {'9-', '1+', '6+'}, {'7-', '9-', '1+'}, {'3+', '6-', '2+'}, {'3+', '2+', '8+'}, {'2+', '8+', '5+'}, {'5-', '3+', '6-'}, {'5-', '3+', '8-'}, {'5-', '3+', '9+'}, {'3+', '7+', '6-'}, {'3+', '6-', '9+'}, {'3+', '7+', '8+'}, {'7-', '3+', '8+'}, {'3+', '9+', '8+'}, {'9+', '8+', '5+'}, {'2+', '1+', '5-', '3+'}, {'2+', '1+', '8-', '3-'}, {'6-', '2+', '1+', '8+'}, {'9-', '1+', '5-', '3-'}, {'7+', '1+', '8-', '3-'}, {'9+', '1+', '8-', '3-'}, {'9-', '6-', '1+', '5-'}, {'9-', '7+', '1+', '8-'}, {'7+', '2+', '5-', '3+'}, {'7+', '2+', '8-', '3-'}, {'6-', '2+', '5-', '8+'}, {'9+', '2+', '5-', '8+'}, {'6-', '2+', '9+', '8+'}, {'6+', '3+', '8+', '5+'}, {'9-', '3+', '8+', '5+'}, {'9-', '6+', '3+', '8+'}, {'7-', '6+', '8-', '5+'}, {'9+', '1+', '7+', '2+', '8+'}, {'6-', '1+', '5-', '8-', '3-'}, {'7-', '9-', '3+', '6+', '5+'}, {'7-', '9-', '6+', '8+', '5+'}, {'6-', '1+', '5-', '3-', '7+', '2+'}, {'6-', '1+', '9+', '5-', '3-', '2+'}, {'6-', '1+', '9+', '3-', '7+', '2+'}, {'6-', '1+', '5-', '8-', '7+', '2+'}, {'6-', '1+', '9+', '5-', '7+', '2+'}, {'6-', '1+', '9+', '5-', '8-', '2+'}, {'9+', '1+', '5-', '8-', '7+', '2+'}, {'6-', '1+', '9+', '8-', '7+', '2+'}, {'6-', '1+', '9+', '5-', '3-', '7+'}, {'6-', '9+', '5-', '3-', '7+', '2+'}, {'9-', '3+', '8-', '7+', '2+', '6+', '5+'}, {'9+', '1+', '3+', '8-', '7+', '2+', '6+', '5+'}, {'7-', '6-', '1+', '9+', '5-', '3-', '8+', '2-'}]
./data/AfterPCA/Air_quality.csv;0.14;35;1341.2838928699493;26.166015625;['1 : AH', '2 : C6H6(GT)', '3 : CO(GT)', '4 : NMHC(GT)', '5 : NO2(GT)', '6 : NOx(GT)', '7 : PT08.S1(CO)', '8 : PT08.S3(NOx)', '9 : T'];[0.22737100294557855, 0.17398364243700193, 0.15499060747583057, 0.1601454955978069, 0.17581734698898926, 0.15739897102365286, 0.147342141603342, 0.1627498289661854, 0.1417384282196907, 0.14403583053897, 0.14609650643243863, 0.16146069571433785, 0.1409900053563866, 0.14280056728442622, 0.1430676098622395, 0.14573645929185033, 0.16001337931519125, 0.1662186181564371, 0.15513049127290052, 0.16639950986069968, 0.143490368259231, 0.14956419903241444, 0.144149784545141, 0.14420938879576248, 0.15094199617719492, 0.16666385665408467, 0.15773914246549042, 0.14405652868042768, 0.18222330754198696, 0.14238192110096934, 0.140070742866349, 0.14607402633178262, 0.23473979260645025, 0.16097392385999046, 0.17920069352024348];[{'9-', '1+'}, {'3+', '5-'}, {'6-', '3+'}, {'3-', '8-', '1+'}, {'2+', '3-', '7+'}, {'8+', '2+', '7+'}, {'7-', '8+', '3+'}, {'7-', '9-', '3+'}, {'9+', '8+', '7+'}, {'2+', '3-', '1+', '5-'}, {'2+', '3-', '1+', '6-'}, {'2+', '3-', '1+', '9+'}, {'8+', '2+', '1+', '9+'}, {'3-', '1+', '5-', '7+'}, {'3-', '1+', '6-', '7+'}, {'3-', '1+', '9+', '7+'}, {'8-', '1+', '6-', '5-'}, {'1+', '9+', '8-', '5-'}, {'6-', '1+', '9+', '8-'}, {'2+', '3-', '6-', '5-'}, {'2+', '3-', '9+', '5-'}, {'2+', '3-', '9+', '6-'}, {'8-', '2+', '6-', '5-'}, {'2+', '9+', '8-', '5-'}, {'8-', '2+', '6-', '7+'}, {'7-', '3+', '5+', '6+'}, {'8+', '3+', '5+', '6+'}, {'7-', '8+', '5+', '6+'}, {'7-', '5+', '6+', '9-'}, {'8+', '5+', '6+', '9-'}, {'7+', '2+', '1+', '8-', '5-'}, {'9+', '7+', '2+', '1+', '6-', '5-'}, {'9-', '3+', '5+', '6+', '7+', '2+', '8-'}, {'3+', '5+', '6+', '9+', '7+', '2+', '1+', '8-'}, {'7-', '8+', '9+', '3-', '1+', '2-', '6-', '5-'}]
